id,Tweet,presenting irrelevant data (red herring),misrepresentation of someone's position (straw man),whataboutism,causal oversimplification,"obfuscation, intentional vagueness, confusion",appeal to fear/prejudice,"black-and-white fallacy, dictatorship",name calling/labeling,loaded language,exaggeration/minimisation,flag-waving,doubt,appeal to fear/prejudice,slogans,thought-terminating cliché,bandwagon,reductio ad hitlerum,repetition,smears,glittering generalities (virtue)
1.29E+18,امريكا تستخدم ايران لحلب دول الخليج فهما عمله واحد امريكا تستخدمها لتخويف الخليج وتقدم لهم الأسلحه بالمليارات وايران تحفر لسيطرة #bahrain,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1.39E+18,“@AhmedFouad_Negm: #سؤال:لما امريكا تضرب سوريا الجيش الحر هيقف مع بشار ضد امريكا ولا هيقف مع امريكا ضد دولته؟؟ محتاجة أجابة ؟”,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.30E+18,@AlArabiya لا غرابة في ذلك فإسرائيل وامريكا لا تتورعان عن معاقبة كل من يخالفهما  ولا عبرةلأي قيم اومواثيق إن خالفت مصالحهما عكس العرب تماما,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.39E+18,@wdnylek20013 يمعود والله امريكا ارحم من بشار,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.39E+18,"يعني امريكا خططت للإستيلاء على نفط ليبيا عن طريق خطه تهدف لقتل سفيرها؟؟ ليكون لها مبرر للإستيلاء؟

يا جماعه ارحموا عقولنا.. :)

@M_Ben_Msaoi",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.15E+18,"الابراج صارت مسمار جحا عندنا.. كل شي نحيله للابراج.. يا جماعه امريكا لو بغت تحتل احتلت بدون ما تخسر لا برج و لا سفير.. 

@M_Ben_Msaoi",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.11E+18,"@5yaali كلامك صح
بس لا كحرب رسميه لن تتدخل اي دوله مطلقا لان ذلك يعني قيام حرب إقليميه ،روسيا وسوريا وإيران من جهه والدول العربيه وامريكا ..",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.40E+18,هل تنكيس الرؤوس لامريكا واتباعها هي السياسه ام ان دولنا تعودت على استشارة خناقيها كي يعطونهم الضوء الاخضر #ترى مالا نراه @Deertybhr #BHR,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1.39E+18,"@mogren9 
ارجع ياوجه النكبه

اليوم سفير امريكا بليبيا انذبح
و ماندري وش يبي يصير بعد هههههه",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1.40E+18,"“@Q8_7SN: مندوب السفاره الامريكيه يحظر مقر عجمان الخامسه

وتقولون العجمان مو اقوى من امريكا 
نبيل الفضل ناطرك تقول اوباما يدعم المتفائلون",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
