id,Tweet,presenting irrelevant data (red herring),misrepresentation of someone's position (straw man),whataboutism,causal oversimplification,"obfuscation, intentional vagueness, confusion",appeal to fear/prejudice,"black-and-white fallacy, dictatorship",name calling/labeling,loaded language,exaggeration/minimisation,flag-waving,doubt,appeal to fear/prejudice,slogans,thought-terminating cliché,bandwagon,reductio ad hitlerum,repetition,smears,glittering generalities (virtue)
1.23E+18,"RT @Alghanim999: لا يهم أمريكا و أوروبا ان تدمر الفلوجه
ويقتل اَهلها نساءً ورجالا وقد فعلوها في سوريا وفي فلسطين ولا يهمهم لو تدمر العالم ا…",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1.40E+18,"RT @Alghanim999: أمريكا هي التي تصنع الارهاب
وتغذيه بمواقفها ضد المسلمين السنه
في فلسطين وافغانستان 
وسوريا والعراق و كل مكان
ولكل فعل رد ف…",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
1.36E+18,"RT @Alghanim999: من ينصر الله ينصره الله
انه درس للجبناء من احرار العراق من الفلوجه الثائرة
 الله أكبر https://t.co/Bcij5uKtyC https://t.co…",0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
1.39E+18,"RT @qatarileaks: #فرنسا و #أمريكا تنافسان على كعكة #الدوحة
أوهام #تنظيم_الحمدين في عسكرة المنطقة جعلته مطمعا للمتربحين وحمى التسليح القطري…",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
1.40E+18,"RT @qatarileaks: كان معروفا للقادة #العرب نقل #حمد_بن_جاسم كواليس الاجتماعات السرية بينهم إلى أجهزة استخباراتية خصوصا #أمريكا و #إسرائيل
#ق…",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.39E+18,"RT @Alghanim999: انها جريمة حرب ضد أهل حلب 
من المدنيين العزل يقوم بها النظام المجرم
والنظام الإيراني والروسي بتواطؤ من
الأمريكان وأوروبا
ا…",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
1.39E+18,"RT @Alghanim999: اسمع يا عبد أمريكا
اسمع يا كلب أمريكا
تكفيني تمره تشبعني كسره
ترويني شربه
يكفيني عز الاسلام
ووطني حر ونفسي حره
لا أخشى الظ…",0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0
1.39E+18,"RT @DrHAKEM: الإسلاميون في #الخليج يعيشون أزمة كبرى فهم يصطفون خلف حكوماتهم وهي تصطف خلف أمريكا وإسرائيل وتمضي بهم نحو التطبيع!
وصار همهم ت…",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
1.40E+18,RT @SMMArabic: قطر مسؤولة عن دعم الإخوان المسلمين في أوروبا وأمريكا ..كيف حاولت السيطرة على صانعي القرار السياسي هناك؟ ماهي طريقة تمويلهم؟…,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
1.39E+18,"RT @Alghanim999: يحق للامريكان ان يسخروا منا!!
حاربنا الاسلام ببناء اكبر كنيسه لهم
حاربنا الاسلام بهدم قيمنا
وبنشر الخمور في بلادنا
اعتزينا…",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
1.30E+18,RT @Alghanim999: 🗣انا ضد أمريكا 🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🌅 https://t.co/Bcij5uKtyC https://t.co/9nDK99E4e2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1.36E+18,"RT @Kinghavin111: خاص من المستشار

طلبت امريكا من النظام القطري ايقاف اي عقود مشتركة مع حزب اللات وايران ووقف اي شراكات مع ايران

رأي المست…",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.39E+18,"تكلمنا سابقًا عن تدخل نظام #الحمدين بضخ أموال #قطر بشكل خبيث في #امريكا وتحديدًا في الولايات التي يسيطر عليها الديمقراطيون والهدف هو تأخير فتحها وبالتالي يزيد غليان المواطنين هناك من الوضع الإقتصادي الذي سيجعل هؤلاء المواطنين يتذمرون من #ترامب وبالتالي لايصوتون له.
1️⃣",0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
1.39E+18,"والله لايرضينا حال هذا المواطن!
أموال #قطر ذهبت تبرعات لـ #اسرائيل لبناء مستوطنات ومستشفيات ولتعزيز انقسام الفلسطينيين!
أمولنا ذهبت هباءً منثورا في #اسرائيل و #امريكا و #ليبيا و #الصومال
اموالنا أنفقت لغرض شيطاني خبيث!
والله لن تروا العز والخير مادامت هذه العصابة تحكمكم https://t.co/AyDuRp43BL",0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
1.40E+18,"تصرفات #تميم والحمدين في المال العام القطري لعب قمار.
مجرد مصروفات على مكاسب(وهمية).
لايوجد أي فائدة لدولة #قطر من توسعة #قاعدة_العديد مع أننا نجزم أن هذه المبالغ(ليست للتوسعة)هي تذلل للأمريكان مثلما تذللوا لهم بالتقرب من اليهود.
هذه التصرفات تثقل كاهل قطر بالديون لسنوات طويلة!!! https://t.co/rJOt6chVVa",0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0
1.40E+18,"من لايشعر بالحسرة والألم على ضياع #العراق بلاد الرافدين فليتأكد من عروبته!

للعلم كل الدول العربية رفضت احتلال العراق ولم تساعد دولنا العربية #امريكا لدرجة أن #السعودية ودول أخرى في ٢٠٠٣م أطلقوا مصطلح ""غزو العراق""!

للأسف ""إعترفت""عصابة #قطر أنها هي من ساعدت الامريكان!! .
#بغداد",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1.17E+18,"رئيس مجلس الشورى يجري محادثات مع السفير الإيراني والمقاتلات القطرية تحلق مع الأمريكان لمراقبة الخليج العربي 

ممكن تفسير ولا مخترقين !!!؟ 😂😂 @QatarNewsAgency https://t.co/ywlpfZ4aqG",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.39E+18,"RT @kpTM7UcqifzlcMnm4duqh08jjNc27bOcmqr5cSpc=: • لأول مرة في التاريخ أن رئيس دولة (يضحك ويتباهى بأن بلده يمر بعجز إقتصادي
لصالح #امريكا) ..سفيه لاتهمه مصالح قطر العليا…",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
1.35E+18,"RT @kpTM7UcqifzlcMnm4duqh08jjNc27bOcmqr5cSpc=: تعامل النظام القطري الحالي مع فايروس #كورونا يشابه الى حد كبير تعامل #تركيا مع الفايروس.

هناك عشرات الأدلة على أن #قطر…",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.40E+18,"RT @kpTM7UcqifzlcMnm4duqh08jjNc27bOcmqr5cSpc=: في عقودٍ ماضية كانت #قضية_فلسطين هي المسيطرة على المشهد في #الشرق_الاوسط و العالم العربي.
لذلك خطط اليهود والغرب لتفكيك…",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.27E+18,"هل أصبحنا في بلدنا قطر هنود حمر أمريكا في نصب الفخاخ لسلب أراضيهم ؟.

#قطر #السعودية #الامارات #الشيخ_فهد_المظلوم #حقوق_الغفران_في_قطر",0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0
1.40E+18,"اقتراف السيئات السياسية مايخيب الأمال ويفسد الأعمال ويحبط الشعوب .

#قطر #الدوحة #الشيخ_فهد_المظلوم #حقوق_الغفران_في_قطر #لندن",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.39E+18,"خيانة #قطر للعرب واضحه بعد تحفظها على بيان #القمة_العربية الذي أكد على مركزية #القضية_الفلسطينية و إقامة الدولة الفلسطينية على حدود 67 وعاصمتها #القدس الشرقية

#تنظيم_الحمدين_الإرهابي https://t.co/maKO3IbCCM",0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0
1.28E+18,"RT @deOkH+0VwymgQ68PC8Yqohi1HoDsRPoJgx2tZ3dgd4=: صاحب السمو الملكي الأمير #محمد_بن_سلمان  السعودية موجودة قبل وجود امريكا بـ30 عام
#السعودية_العظمى

و #بعير_المجد لف ا…",1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
1.34E+18,"RT @deOkH+0VwymgQ68PC8Yqohi1HoDsRPoJgx2tZ3dgd4=: بدأت الحرب الالكترونية 
هجوم شامل تتعرض له اجهزة المراكز الحيوية للدول الأوربية و أمريكا والاعلام الغربي يحذر من انتقا…",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.39E+18,RT @EGaadah: وزير خارجية امريكا السابق جون كيري يواجه العقوبه بالسجن لتفاوضه مع  الإيرانيين 'دون وجود منصب رسمي له' للإبقاء على الاتفاق الن…,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.39E+18,"الامريكان سيتخلون عن #تميم لسببين :

(١) أخذوا جميع مايريدونه من تميم كمبالغ كاش (ليست كمشاريع).
(٢) سقوط #تميم ونظامه يفتح الباب لإستضافة #امريكا #كاس_العالم_٢٢ في وقت أحوج ماتكون فيه لإنعاش إقتصادها.
(٣) السبب الثالث لا أستطيع الإفصاح عنه الان.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.38E+18,"RT @marsdnews24: فهد آل ثاني : أنباء عن مقتل أفراد من الأسرة الحاكمة بقطر .. والأمريكان سيتخلون عن تميم لسببين !
https://t.co/JziPsIzfwp",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.36E+18,"RT @EGaadah: معلش أنا فِهمي بطيء
 هو مين إللي إشترى مين
 السعودية هي اللي دفعت الجزية لأمريكا
 ولا أمريكا هي اللي دفعت الجزية للسعودية؟؟
 و…",0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
1.14E+18,"RT @TurkeyAffairs: للسياح العرب ده كلام الأمريكان مش كلامنا يعني، الخارجية الامريكية تضع تركيا علي مؤشر K ويعني أن تركيا أصبحت من الدول ذات…",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.39E+18,"RT @alnaif_969: شاهد كيف تم حشر وزير الدفاع القطري في الركن
عندما تم سؤاله/
امريكا ترغب استخدام قاعدة العديد في قطر لضرب ايران.
جواب وزير د…",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.40E+18,"RT @SMEDIC99: #اوردغان
اذا ذهب للخليج هاجم #ايران 
واذا ذهب لإيران هاجم #الخليج 
اذا ذهب لامريكا هاجم #روسيا 
واذا ذهب لروسيا هاجم #امريكا…",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1.30E+18,"RT @boazoooz55: انتشر فيديو يتفاخر به الحوثيين بقصف شاحنة مساعدات ويقول أحد الحوثيين في الفيديو عبارتهم المشهوره ""الموت لأمريكا, الموت لإسر…",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1.35E+18,"RT @KSA24: الدوحة تطرد الأمريكان من العديد تضامناً مع أهلنا في فلسطين
😉 #الدوحه_تنتفض_علي_اسوار_العديد",0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
1.39E+18,"RT @Eastern_RT: #خادم_الحرمين الملك سلمان يؤكد لترامب دعم #المملكة المتواصل لحقوق الشعب الفلسطيني التاريخية

#السعودية #أمريكا https://t.co…",0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1
1.38E+18,"RT @Alghanim999: دمروا أفغانستان بحجة القاعدة
وفلسطين بحجة الارهاب
دمروا سوريا بحجة قبرزينب
دمروا اليمن بحجة الموت لامريكا وإسرائيل
دمروا ا…",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1.39E+18,"RT @Alghanim999: مقتطفات من قصيدة شوقي
في نكبة دمشق
نكبتها بالامس واليوم
من المجوس و الروس الامريكان والاذناب https://t.co/Bcij5uKtyC https…",0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0
1.40E+18,"RT @Alghanim999: أمريكا تدمر سورياالمسلمه وتخطط
في قتل شعبها
أمريكا تدمر العراق وتقتل أهل الفلوجه
بمساعدة عملائها!
وفلسطين وافغانستان
وتهنئ…",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1.18E+18,"RT @Alghanim999: كل الساسه الأمريكان هم دونالد ترامب 
وهو اظهر حقده وهم أخفوا أحقادهم !!
كلهم أفاعي 
ان الأفاعي وان لانت ملامسها
عند التقلب…",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.39E+18,"RT @Alghanim999: أقتلك ثم اهنئك برمضان
هذا اُسلوب الطغيان
هذا اُسلوب الأمريكان  https://t.co/Bcij5uKtyC https://t.co/vvB7xvxcj7",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.34E+18,"RT @khalid2202222: من أقوى العبارات التي أزعجت الأمن الأمريكي في مظاهرات سود أمريكا 
( لسنا عربا تقتلوننا فنسكت)",0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0
1.40E+18,"RT @Alghanim999: قامت ايرن وأمريكا لتحرر العراق من العراقيين 
وقام بهذه المهمه الحشد الشيعي بمعاونة أمريكا وإيران وظهر الحقد الصفوي الصليبي…",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
