id,Tweet,presenting irrelevant data (red herring),misrepresentation of someone's position (straw man),whataboutism,causal oversimplification,"obfuscation, intentional vagueness, confusion",appeal to fear/prejudice,"black-and-white fallacy, dictatorship",name calling/labeling,loaded language,exaggeration/minimisation,flag-waving,doubt,appeal to fear/prejudice,slogans,thought-terminating cliché,bandwagon,reductio ad hitlerum,repetition,smears,glittering generalities (virtue)
1.39E+18,"RT @Alghanim999: أقتلك ثم اهنئك برمضان
هذا اُسلوب الطغيان
هذا اُسلوب الأمريكان  https://t.co/Bcij5uKtyC https://t.co/vvB7xvxcj7",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.34E+18,"RT @khalid2202222: من أقوى العبارات التي أزعجت الأمن الأمريكي في مظاهرات سود أمريكا 
( لسنا عربا تقتلوننا فنسكت)",0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0
1.40E+18,"RT @Alghanim999: قامت ايرن وأمريكا لتحرر العراق من العراقيين 
وقام بهذه المهمه الحشد الشيعي بمعاونة أمريكا وإيران وظهر الحقد الصفوي الصليبي…",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
1.39E+18,"RT @Alghanim999: أمريكا المجرمه وروسيا وإيران الصفوية يقومون بعملية إبادة للسنة في سوريا
امام العالم الظالم وصمت العرب المخزي
لا امّم متحدة…",0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0
1.39E+18,"RT @Alghanim999: أمريكا والكيل بمكيالين
أمريكا عدوة السنة والمسلمين https://t.co/Bcij5uKtyC https://t.co/JaRXG8sSvk",1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
1.33E+18,"RT @Alghanim999: يحق للامريكان ان يسخروا منا!!
حاربنا الاسلام ببناء اكبر كنيسه لهم
حاربنا الاسلام بهدم قيمنا
وبنشر الخمور في بلادنا
اعتزينا…",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1.40E+18,"RT @Alghanim999: لم يأخذ الحكام العرب العبرة
من شاه ايران حليف الامريكان
جعلوا عداوته مع شعبه أولاً ثم أسقطوه
ومنعوه من العلاج عندهم ودخول…",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.37E+18,"RT @Alghanim999: لماذا يصمت العالم الظالم عن مذابح الفلوجه وعن محاولة إبادتها من الرافضه العملاء
والامريكان يريدون الانتقام من الفلوجه
لأن…",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
1.39E+18,RT @Alghanim999: عنصرية الأمريكان البيض ضد السود https://t.co/DR3xN3ufEt,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1.32E+18,"RT @Alghanim999: لقد اختارت امريكا لكثير 
من الشعوب حكامها
وساهموا في ضياع الامه العربيه والاسلاميه واستغلوا قضية فلسطين لتثبيت كراسيهم وأغ…",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
