id,Tweet,presenting irrelevant data (red herring),misrepresentation of someone's position (straw man),whataboutism,causal oversimplification,"obfuscation, intentional vagueness, confusion",appeal to fear/prejudice,"black-and-white fallacy, dictatorship",name calling/labeling,loaded language,exaggeration/minimisation,flag-waving,doubt,appeal to fear/prejudice,slogans,thought-terminating cliché,bandwagon,reductio ad hitlerum,repetition,smears,glittering generalities (virtue)
1.29E+18,"لا امريكا ،ولا الغرب ،و لا شرق سلوى ، تستطيع تزعزع ، امن واستقرار و هيبة المملكة العربية السعودية ، ان الله معنا. وَإِذْ قَالَ إِبْرَاهِيمُ رَبِّ اجْعَلْ هَٰذَا بَلَدًا آمِنًا وَارْزُقْ أَهْلَهُ مِنَ الثَّمَرَاتِ",0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0
1.39E+18,نامق توجه لامريكا هالعاً ليشرح لواشنطن دعمهم لاقتصاد تركيا ١٥ مليار دولار وقال لاتوجد لدينا وساطة فواشنطن,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.30E+18,أيران بين حلين أحلاهما مر ؛ إما التعري لأمريكا أو التعري للشعب الإيراني,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.39E+18,امريكا اكملت جميع الاستعدادات اللازمة لأسوأ حرب قد تمر على #نظام_الملالي الإرهابي.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.39E+18,"شعب #قطر ضاق ذرعآ بحماقات #تنظيم_الحمدين_الارهابي ، قامت #السعوديه ودول #الخليج و #امريكا ودول اخرى كثيره بتعريتهم وتعري",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
1.15E+18,عض الدول الان تسعى الى التوسط بين #امريكا و #ايران,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.11E+18,للأسف لم يظهروا عندما كان #نظام_الملالي يهاجم #السعوديه و دول #الخلي…,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.40E+18,هذه هي الحريه الشخصيه في امريكا,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.39E+18,تمثيل اليمني ادم صالح لنرى ردة فعل الناس  عند نزع الحجاب للمرأه المسلمة.   ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.40E+18, لو اجتمعت قوات روسيا والصين وأمريكا بكامل جنودهم وأملاكهم على ان يضروك .ايوه انته اللي بتقراء ...لن يستطيعوا ...اذا الله ,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
